                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.78986,                0.64028,                 1.0971,                0.94911,                0.91408,                0.95991,                0.76906,                0.84197,                0.50238,                 1.0747,               0.000467,               0.000467,               0.000467
                     36,                0.76594,                 0.6203,                 1.0819,                0.95623,                0.91308,                 0.9535,                0.76357,                0.84057,                0.49025,                 1.0754,              0.0004387,              0.0004387,              0.0004387
                     37,                0.76704,                0.61589,                 1.0811,                0.92849,                0.94547,                0.95693,                0.77355,                0.84442,                0.48374,                 1.0776,             0.00041041,             0.00041041,             0.00041041
                     38,                0.75764,                0.60461,                 1.0778,                0.95374,                0.92771,                  0.959,                0.76215,                 0.8546,                0.46976,                 1.0804,             0.00038211,             0.00038211,             0.00038211
                     39,                0.74511,                0.60149,                  1.075,                0.96755,                0.89849,                0.95973,                0.77044,                0.84541,                 0.4849,                 1.0812,             0.00035382,             0.00035382,             0.00035382
                     40,                0.75093,                 0.5876,                 1.0791,                0.96377,                0.91472,                0.95787,                  0.766,                0.84863,                0.48326,                  1.077,             0.00032553,             0.00032553,             0.00032553
                     41,                0.61727,                0.37229,                 1.0005,                0.94949,                0.91377,                0.95434,                 0.7684,                0.84232,                0.47464,                 1.0836,             0.00029723,             0.00029723,             0.00029723
                     42,                0.59568,                 0.3587,                0.99307,                 0.9621,                0.93402,                0.95857,                0.77298,                 0.8222,                0.46702,                 1.0842,             0.00026894,             0.00026894,             0.00026894
                     43,                0.57669,                0.34081,                0.97289,                0.96007,                0.92617,                0.95725,                0.77282,                0.83565,                0.48298,                 1.0837,             0.00024064,             0.00024064,             0.00024064
                     44,                0.56558,                0.32958,                0.97053,                0.95546,                0.93214,                0.95627,                0.77074,                0.82351,                0.45854,                   1.07,             0.00021235,             0.00021235,             0.00021235
                     45,                0.55922,                0.32129,                0.96407,                0.95227,                0.92875,                0.95848,                0.78312,                0.82502,                0.45064,                 1.0781,             0.00018406,             0.00018406,             0.00018406
                     46,                0.54276,                0.31099,                0.95458,                0.96731,                0.91785,                0.95783,                0.78178,                0.81736,                0.45453,                 1.0768,             0.00015576,             0.00015576,             0.00015576
                     47,                 0.5276,                0.29884,                0.94954,                0.96186,                0.91822,                 0.9585,                0.78307,                0.82296,                0.46618,                 1.0854,             0.00012747,             0.00012747,             0.00012747
                     48,                0.51821,                 0.2985,                 0.9438,                0.95523,                 0.9368,                0.95984,                0.78429,                0.81765,                 0.4545,                 1.0806,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     49,                0.51164,                0.28886,                0.94004,                 0.9583,                0.93535,                0.96004,                0.78221,                0.81332,                0.45037,                 1.0846,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     50,                0.50451,                0.28621,                0.93787,                0.96792,                0.92443,                0.95939,                0.78295,                0.81568,                 0.4497,                 1.0846,             4.2584e-05,             4.2584e-05,             4.2584e-05
